Target gene,Percent.Peptide,Amino.Acid.Cut.position,score_drug_gene_rank,score_drug_gene_threshold,predictions,A_18,C_20,C_24,G_18,G_24,G_28,T_22,T_23,T_24,AC_21,GA_24,GG_20,TG_23,TT_21,TT_23,GGG_26,TGG_25,TTC_22,TTG_24,TTT_22,GTGG_24,TGGG_25,TTTG_23,GC_Count,A_Count,G_Count
CD5,72.87,360,0.083682008,0,0.5444118584,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,11,17,6
NF1,65.8,1868,0.868206522,1,0.6175122138,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,4
CD5,84.21,416,0.184100418,0,0.4762318347,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16,9,9
NF1,56.39,1601,0.432065217,0,0.4598820009,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,10,13,6
CUL3,4.3,33,0.149350649,0,0.2908406197,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,10,13,7
NF1,67.7,1922,0.239130435,0,0.5704079655,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,13,8,7
CD5,52.23,258,0.188284519,0,0.592484894,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,10
NF1,44.24,1256,0.533967391,0,0.6194023163,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12,10,8
MED12,16.31,355,0.579004329,0,0.4947430432,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,20,8,12
MED12,16.31,355,0.612554113,0,0.4947430432,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,20,8,12
TADA2B,78.1,328,0.084210526,0,0.3752269313,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,12,7
CUL3,61.72,474,0.188311688,0,0.4143436943,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,11,9
TADA1,82.39,276,0.71559633,0,0.5607602117,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,7
CD45,41.95,474,0.581227437,0,0.6174712871,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,10
HPRT1,78.44,171,0.34375,0,0.5004091901,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,15,10,10
NF1,90.17,2560,0.282608696,0,0.2402105197,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,13,8
THY1,76.54,124,0.677419355,0,0.5123059645,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,12,8
CUL3,4.3,33,0.246753247,0,0.4098619261,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,13,6
HPRT1,43.12,94,0.5625,0,0.5861378369,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,12,6
NF1,6.83,194,0.100543478,0,0.5083450384,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,12,7
H2-K,46.07,170,0.692307692,0,0.6424022417,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,10,10
NF1,58.51,1661,0.975543478,1,0.591609864,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,9,8,4
NF1,18.25,518,0.442934783,0,0.6313676905,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,9
CD28,45.87,100,0.013513514,0,0.443900453,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,9,7
CD5,12.55,62,0.715481172,0,0.6305218551,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,15,8,11
MED12,89.25,1943,0.198051948,0,0.3551152317,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,11,10
MED12,89.25,1943,0.1504329,0,0.3551152317,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,11,10
NF2,45.04,268,0.632286996,0,0.6712923254,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,8
CUL3,59.64,458,0.071428571,0,0.3396189216,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,17,4
MED12,16.26,354,0.477272727,0,0.554644706,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,11
MED12,16.26,354,0.533549784,0,0.554644706,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,11
TADA2B,78.1,328,0.126315789,0,0.3835387749,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,7
CD45,19.56,221,0.657039711,0,0.5713270027,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,8,9
CD43,11.14,44,0.007246377,0,0.1918936941,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,16,7,10
MED12,66.1,1439,0.836580087,1,0.7059911675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,6
MED12,66.1,1439,0.851731602,1,0.7059911675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,6
NF2,98.66,587,0.139013453,0,0.2260444309,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18,7,9
CD45,1.5,17,0.996389892,1,0.6728217154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,8
CD43,1.01,4,0.644927536,0,0.5940822656,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,11
NF1,26.88,763,0.690217391,0,0.6298749852,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,17,9,11
NF2,22.69,135,0.937219731,1,0.7471390019,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,14,8,6
CD45,80.62,911,0.725631769,0,0.5854654185,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,13,10
CD33,80.49,293,0.264069264,0,0.540375454,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,13
CD28,13.76,30,0.405405405,0,0.5893242228,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,17,5,10
CUL3,68.62,527,0.279220779,0,0.4613847192,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,15,6,10
NF1,57.84,1642,0.964673913,1,0.7199002459,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12,11,7
NF1,10.92,310,0.369565217,0,0.6781406533,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,9,10
CUL3,43.1,331,0.62987013,0,0.4996671892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,9
TADA1,59.7,200,0.568807339,0,0.6154171379,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,10,9
NF2,49.41,294,0.439461883,0,0.5705774338,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,9,6
NF1,93.59,2657,0.669836957,0,0.2317550952,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,5
TADA1,91.94,308,0.23853211,0,0.4406354964,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,12,11,6
NF1,90.21,2561,0.266304348,0,0.3890429003,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,8
CD45,50.88,575,0.653429603,0,0.674194574,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,10,7
NF2,65.88,392,0.600896861,0,0.7274310081,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,10,11
CUL3,2.08,16,0.506493506,0,0.484396172,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19,5,10
MED12,66.61,1450,0.653679654,0,0.433673934,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,9,12
MED12,66.61,1450,0.762987013,0,0.433673934,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,9,12
MED12,36.29,790,0.699134199,0,0.6403670819,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,17,9,11
MED12,36.29,790,0.682900433,0,0.6403670819,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,17,9,11
HPRT1,81.65,178,0.375,0,0.4295260995,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,12,4
THY1,61.11,99,0.612903226,0,0.5468501976,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16,7,7
CD28,95.41,208,0.5,0,0.3304016684,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,19,5,12
NF1,39.77,1129,0.22826087,0,0.5710475192,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,11
CD13,76.53,740,0.752747253,0,0.5760529154,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,7
NF1,22.68,644,0.39673913,0,0.6243503475,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,10,7
CUL3,85.16,654,0.75974026,0,0.3776143351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,16,5
NF1,87.53,2485,0.546195652,0,0.5140931709,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,10,7
NF1,88.94,2525,0.710597826,0,0.4453548166,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,10
NF2,26.39,157,0.502242152,0,0.5168211871,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,16,8,7
HPRT1,12.39,27,0.3125,0,0.5035094466,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,10,4
NF2,30.25,180,0.34529148,0,0.6508489781,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,5
NF1,62.87,1785,0.225543478,0,0.4310209889,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,10,4
CD45,76.28,862,0.931407942,1,0.629647012,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,9
MED12,20.58,448,0.801948052,1,0.620321017,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,8
MED12,20.58,448,0.890692641,1,0.620321017,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,8
CD45,6.55,74,0.386281588,0,0.5747327853,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,11,11,8
