,gene,result,rank,azimuth,crisprpred
112,CCDC101,1,0.932885906,0.5723678862,0.2848286431
197,CCDC101,0,0.543624161,0.450016491,0.0025887466
267,CCDC101,1,0.912751678,0.7470366691,0.4893471427
305,CCDC101,0,0.66442953,0.5449344734,0.071312743
309,CCDC101,0,0.684563758,0.5602754691,0.5410667197
315,CCDC101,0,0.087248322,0.4358839567,0.0060131349
337,CCDC101,0,0.583892617,0.7301182992,0.3956749932
387,CCDC101,0,0.55704698,0.6129706452,0.3324156574
454,CCDC101,0,0.127516779,0.307841832,-0.0393297351
531,CCDC101,0,0.744966443,0.5420960625,0.2951632516
624,CCDC101,0,0.637583893,0.5811059649,-0.0687525601
675,CCDC101,0,0.785234899,0.3614381939,-0.1790921914
687,CCDC101,0,0.422818792,0.3811501626,0.1439201618
719,CCDC101,1,0.845637584,0.5108965679,0.4633353616
769,CCDC101,1,0.919463087,0.6582314459,0.248131857
822,CCDC101,1,0.926174497,0.566367582,0.3658729312
836,CCDC101,0,0.751677852,0.4735140154,0.2480385701
892,CCDC101,1,0.805369128,0.6637780531,0.4497918459
1035,CCDC101,0,0.55033557,0.4565275926,0.0433524696
1070,CCDC101,0,0.093959732,0.3691548391,0.1974545896
1075,CCDC101,1,0.953020134,0.7101392237,0.1392691066
1137,CCDC101,0,0.302013423,0.4692707534,0.1896679611
1207,CCDC101,0,0.281879195,0.5015839907,-0.0466791249
1222,CCDC101,0,0.11409396,0.4659667232,0.2650101181
1271,CCDC101,0,0.308724832,0.4434145604,0.3466826847
1380,CCDC101,1,0.986577181,0.5258954612,0.2145866739
1422,CCDC101,1,0.852348993,0.5225236837,0.5262893231
1432,CCDC101,0,0.577181208,0.6359203231,0.2637049849
1502,CCDC101,0,0.187919463,0.3402836022,-0.2870809126
1510,CCDC101,0,0.44966443,0.5166535055,0.2449345319
1519,CCDC101,1,0.973154362,0.552065703,0.2667234541
1558,CCDC101,1,0.872483221,0.6512718596,0.4460202449
1638,CCDC101,0,0.624161074,0.6631375541,0.3027587016
1646,CCDC101,0,0.731543624,0.5846350626,0.4451879237
1651,CCDC101,1,0.838926174,0.4357644112,0.3169442287
1665,CCDC101,0,0.073825503,0.244414061,-0.0175830639
1682,CCDC101,0,0.469798658,0.4877345434,0.0548836575
1692,CCDC101,1,0.825503356,0.7630917604,0.298831626
1730,CCDC101,0,0.080536913,0.3950154536,0.0855613756
1754,CCDC101,0,0.657718121,0.5983899833,0.0717191594
1780,CCDC101,0,0.201342282,0.3731970521,0.143715111
1795,CCDC101,0,0.496644295,0.59605902,0.0809880589
1803,CCDC101,0,0.040268456,0.1248721084,0.3788120826
1808,CCDC101,0,0.006711409,0.3892235932,0.2587434384
1821,CCDC101,0,0.342281879,0.4762295891,0.2193267337
1823,CCDC101,0,0.248322148,0.3970177809,0.4926882758
1833,CCDC101,0,0.020134228,0.1931884027,0.0750889517
1840,CCDC101,0,0.067114094,0.5038806203,0.2004630233
1842,CCDC101,0,0.483221477,0.6675504436,0.0500066298
1870,CCDC101,1,0.946308725,0.7138230163,0.3543836377
