Percent Peptide,Amino Acid Cut position,predictions,G_20,AA_18,GC_Count,A,GG,TT_17,MFE
72.87,360,0.5444118584,0,0,11,17,1,0,-0.3
65.8,1868,0.6175122138,0,0,11,11,1,0,-3.5
84.21,416,0.4762318347,0,0,16,9,1,0,-2.3
56.39,1601,0.4598820009,0,0,10,13,1,0,-1.8
4.3,33,0.2908406197,1,0,10,13,1,0,-0.5
67.7,1922,0.5704079655,0,0,13,8,1,0,-3.3
52.23,258,0.592484894,1,0,20,10,1,0,-8.4
44.24,1256,0.6194023163,1,0,12,10,1,0,-1.8
16.31,355,0.4947430432,0,0,20,8,1,0,-6.8
16.31,355,0.4947430432,0,0,20,8,1,0,-6.8
78.1,328,0.3752269313,0,0,16,12,1,0,-4.2
61.72,474,0.4143436943,1,0,12,11,1,0,-0.8
82.39,276,0.5607602117,0,0,13,10,1,0,0
41.95,474,0.6174712871,1,0,13,12,1,0,-3.8
78.44,171,0.5004091901,0,0,15,10,1,0,-3.4
90.17,2560,0.2402105197,1,0,12,13,1,0,-2.2
76.54,124,0.5123059645,0,0,10,12,1,0,0
4.3,33,0.4098619261,0,0,10,13,1,0,-0.5
43.12,94,0.5861378369,0,0,10,12,1,0,-1.3
6.83,194,0.5083450384,0,0,12,12,1,0,-1.7
46.07,170,0.6424022417,0,0,17,10,1,0,-5.5
58.51,1661,0.591609864,0,0,9,8,1,0,-2
18.25,518,0.6313676905,0,1,17,13,1,0,-5.1
45.87,100,0.443900453,1,0,14,9,1,0,-7.5
12.55,62,0.6305218551,0,0,15,8,1,0,-2.6
89.25,1943,0.3551152317,0,0,14,11,1,0,-2.1
89.25,1943,0.3551152317,0,0,14,11,1,0,-2.1
45.04,268,0.6712923254,0,0,15,10,1,0,-2.9
59.64,458,0.3396189216,1,1,6,17,1,0,-1.1
16.26,354,0.554644706,1,0,20,8,1,0,-4.7
16.26,354,0.554644706,1,0,20,8,1,0,-4.7
78.1,328,0.3835387749,0,0,16,12,1,0,-4.2
19.56,221,0.5713270027,1,0,16,8,1,0,-4.2
11.14,44,0.1918936941,0,0,16,7,1,0,-3.2
66.1,1439,0.7059911675,1,0,17,8,1,0,-2.8
66.1,1439,0.7059911675,1,0,17,8,1,0,-2.8
98.66,587,0.2260444309,1,0,18,7,1,0,-5.5
1.5,17,0.6728217154,0,0,14,10,1,0,-6.6
1.01,4,0.5940822656,1,0,18,11,1,0,-5.7
26.88,763,0.6298749852,0,0,17,9,1,0,-3.4
22.69,135,0.7471390019,0,0,14,8,1,0,-3.9
