,gene,result,rank,azimuth
112,CCDC101,1,0.932885906,0.5723678862
197,CCDC101,0,0.543624161,0.450016491
267,CCDC101,1,0.912751678,0.7470366691
305,CCDC101,0,0.66442953,0.5449344734
309,CCDC101,0,0.684563758,0.5602754691
315,CCDC101,0,0.087248322,0.4358839567
337,CCDC101,0,0.583892617,0.7301182992
387,CCDC101,0,0.55704698,0.6129706452
454,CCDC101,0,0.127516779,0.307841832
531,CCDC101,0,0.744966443,0.5420960625
624,CCDC101,0,0.637583893,0.5811059649
675,CCDC101,0,0.785234899,0.3614381939
687,CCDC101,0,0.422818792,0.3811501626
719,CCDC101,1,0.845637584,0.5108965679
769,CCDC101,1,0.919463087,0.6582314459
822,CCDC101,1,0.926174497,0.566367582
836,CCDC101,0,0.751677852,0.4735140154
892,CCDC101,1,0.805369128,0.6637780531
1035,CCDC101,0,0.55033557,0.4565275926
1070,CCDC101,0,0.093959732,0.3691548391
1075,CCDC101,1,0.953020134,0.7101392237
1137,CCDC101,0,0.302013423,0.4692707534
1207,CCDC101,0,0.281879195,0.5015839907
1222,CCDC101,0,0.11409396,0.4659667232
1271,CCDC101,0,0.308724832,0.4434145604
1380,CCDC101,1,0.986577181,0.5258954612
1422,CCDC101,1,0.852348993,0.5225236837
1432,CCDC101,0,0.577181208,0.6359203231
1502,CCDC101,0,0.187919463,0.3402836022
1510,CCDC101,0,0.44966443,0.5166535055
1519,CCDC101,1,0.973154362,0.552065703
1558,CCDC101,1,0.872483221,0.6512718596
1638,CCDC101,0,0.624161074,0.6631375541
1646,CCDC101,0,0.731543624,0.5846350626
1651,CCDC101,1,0.838926174,0.4357644112
1665,CCDC101,0,0.073825503,0.244414061
1682,CCDC101,0,0.469798658,0.4877345434
1692,CCDC101,1,0.825503356,0.7630917604
1730,CCDC101,0,0.080536913,0.3950154536
1754,CCDC101,0,0.657718121,0.5983899833
1780,CCDC101,0,0.201342282,0.3731970521
1795,CCDC101,0,0.496644295,0.59605902
1803,CCDC101,0,0.040268456,0.1248721084
1808,CCDC101,0,0.006711409,0.3892235932
1821,CCDC101,0,0.342281879,0.4762295891
1823,CCDC101,0,0.248322148,0.3970177809
1833,CCDC101,0,0.020134228,0.1931884027
1840,CCDC101,0,0.067114094,0.5038806203
1842,CCDC101,0,0.483221477,0.6675504436
1870,CCDC101,1,0.946308725,0.7138230163
1877,CCDC101,0,0.275167785,0.2384119112
1884,CCDC101,0,0.771812081,0.4807214422
1889,CCDC101,0,0.476510067,0.5577971987
1921,CCDC101,0,0.630872483,0.6486367393
1990,CCDC101,0,0.429530201,0.5665302662
2005,CCDC101,0,0.597315436,0.4637992378
2047,CCDC101,0,0.268456376,0.5394174507
2082,CCDC101,0,0.147651007,0.3765594013
2103,CCDC101,0,0.161073826,0.438262716
2107,CCDC101,0,0.026845638,0.2776568377
2144,CCDC101,0,0.402684564,0.5919108086
2147,CCDC101,0,0.382550336,0.5913651734
2155,CCDC101,0,0.167785235,0.3380971108
2163,CCDC101,0,0.060402685,0.4679782141
2179,CCDC101,1,0.979865772,0.6025626014
2196,CCDC101,0,0.10738255,0.4155836325
2215,CCDC101,0,0.590604027,0.6234924388
2260,CCDC101,1,0.939597315,0.5750335666
2291,CCDC101,0,0.140939597,0.3944214729
2325,CCDC101,0,0.503355705,0.4020505852
2364,CCDC101,0,0.765100671,0.5128349115
2374,CCDC101,0,0.100671141,0.4917606481
2391,CCDC101,1,0.89261745,0.5540979633
2411,CCDC101,0,0.228187919,0.3953119358
2418,CCDC101,0,0.416107383,0.6190383135
2441,CCDC101,0,0.295302013,0.4933080351
2500,CCDC101,0,0.32885906,0.6567723893
2504,CCDC101,1,0.859060403,0.4427950566
2515,CCDC101,0,0.174496644,0.5660410845
2553,CCDC101,0,0.677852349,0.5842880845
2572,CCDC101,0,0.510067114,0.5569566208
2632,CCDC101,1,0.88590604,0.7010017006
2662,CCDC101,0,0.369127517,0.538664329
