"","gene","result","rank","azimuth"
"112","CCDC101",1,0.932885906,0.57236788622507
"197","CCDC101",0,0.543624161,0.450016490966684
"267","CCDC101",1,0.912751678,0.747036669147472
"305","CCDC101",0,0.66442953,0.544934473382466
"309","CCDC101",0,0.684563758,0.560275469084744
"315","CCDC101",0,0.087248322,0.435883956667677
"337","CCDC101",0,0.583892617,0.730118299152447
"387","CCDC101",0,0.55704698,0.61297064524337
"454","CCDC101",0,0.127516779,0.307841831971238
"531","CCDC101",0,0.744966443,0.542096062516854
"624","CCDC101",0,0.637583893,0.581105964850032
"675","CCDC101",0,0.785234899,0.361438193937403
"687","CCDC101",0,0.422818792,0.381150162620723
"719","CCDC101",1,0.845637584,0.510896567928305
"769","CCDC101",1,0.919463087,0.658231445857352
"822","CCDC101",1,0.926174497,0.566367582042524
"836","CCDC101",0,0.751677852,0.473514015351727
"892","CCDC101",1,0.805369128,0.663778053080179
"1035","CCDC101",0,0.55033557,0.45652759262004
"1070","CCDC101",0,0.093959732,0.369154839145996
"1075","CCDC101",1,0.953020134,0.710139223735362
"1137","CCDC101",0,0.302013423,0.469270753413152
"1207","CCDC101",0,0.281879195,0.501583990667296
"1222","CCDC101",0,0.11409396,0.465966723194773
"1271","CCDC101",0,0.308724832,0.443414560445201
"1380","CCDC101",1,0.986577181,0.525895461181647
"1422","CCDC101",1,0.852348993,0.522523683657121
"1432","CCDC101",0,0.577181208,0.635920323110855
"1502","CCDC101",0,0.187919463,0.34028360217934
"1510","CCDC101",0,0.44966443,0.516653505537354
"1519","CCDC101",1,0.973154362,0.552065703017103
"1558","CCDC101",1,0.872483221,0.651271859557877
"1638","CCDC101",0,0.624161074,0.663137554062001
"1646","CCDC101",0,0.731543624,0.584635062581777
"1651","CCDC101",1,0.838926174,0.435764411226131
"1665","CCDC101",0,0.073825503,0.244414060969784
"1682","CCDC101",0,0.469798658,0.487734543413843
"1692","CCDC101",1,0.825503356,0.763091760410352
"1730","CCDC101",0,0.080536913,0.395015453635165
"1754","CCDC101",0,0.657718121,0.598389983339292
"1780","CCDC101",0,0.201342282,0.373197052058516
"1795","CCDC101",0,0.496644295,0.596059019964035
"1803","CCDC101",0,0.040268456,0.124872108401482
"1808","CCDC101",0,0.006711409,0.389223593243833
"1821","CCDC101",0,0.342281879,0.476229589066788
"1823","CCDC101",0,0.248322148,0.397017780881157
"1833","CCDC101",0,0.020134228,0.193188402666638
"1840","CCDC101",0,0.067114094,0.503880620255031
"1842","CCDC101",0,0.483221477,0.667550443614273
"1870","CCDC101",1,0.946308725,0.71382301626766
"1877","CCDC101",0,0.275167785,0.23841191116081
"1884","CCDC101",0,0.771812081,0.480721442190245
"1889","CCDC101",0,0.476510067,0.557797198667819
"1921","CCDC101",0,0.630872483,0.648636739334341
"1990","CCDC101",0,0.429530201,0.566530266182429
"2005","CCDC101",0,0.597315436,0.46379923783542
"2047","CCDC101",0,0.268456376,0.539417450654386
"2082","CCDC101",0,0.147651007,0.376559401340933
"2103","CCDC101",0,0.161073826,0.438262716028914
"2107","CCDC101",0,0.026845638,0.277656837663057
"2144","CCDC101",0,0.402684564,0.591910808617602
"2147","CCDC101",0,0.382550336,0.591365173381061
"2155","CCDC101",0,0.167785235,0.338097110809289
"2163","CCDC101",0,0.060402685,0.467978214116638
"2179","CCDC101",1,0.979865772,0.60256260141338
"2196","CCDC101",0,0.10738255,0.415583632512913
"2215","CCDC101",0,0.590604027,0.623492438769264
"2260","CCDC101",1,0.939597315,0.575033566560799
"2291","CCDC101",0,0.140939597,0.394421472869087
